Time_ms,Voltage_mV
398.0,-49.50099241992964
398.5,-45.449173769772344
399.0,-38.95069793274949
399.5,-27.168082490876618
400.0,-1.509183239580988
400.5,-65.0
401.0,-68.23054158717073
401.5,-70.86199562082388
402.0,-72.6819094735692
402.5,-73.75506140270808
403.0,-74.29521311396098
403.5,-74.51311006076236
404.0,-74.55420219593637
404.5,-74.50297779206092
405.0,-74.40454696598837
405.5,-74.28209792343488
406.0,-74.14738331640811
406.5,-74.006346058394
407.0,-73.86200025209622
407.5,-73.71588135561761
408.0,-73.56877374081286
408.5,-73.4210769710435
409.0,-73.272991443163
409.5,-73.12461326060864
410.0,-72.97598315344901
410.5,-72.82711193083595
411.0,-72.67799383667595
411.5,-72.52861360921234
412.0,-72.3789502308095
412.5,-72.22897891959825
413.0,-72.07867217663224
413.5,-71.92800031902468
414.0,-71.77693172872026
414.5,-71.62543294032058
415.0,-71.47346863463729
415.5,-71.32100157403023
416.0,-71.16799249888275
416.5,-71.01439999532604
417.0,-70.86018033911944
417.5,-70.70528731757969
418.0,-70.54967202962702
418.5,-70.39328266283295
419.0,-70.23606424550388
419.5,-70.07795837114253
420.0,-69.91890289199306
420.5,-69.75883157772792
421.0,-69.59767373462932
421.5,-69.4353537798207
422.0,-69.27179076417636
422.5,-69.10689783644813
423.0,-68.9405816398527
423.5,-68.77274163081562
424.0,-68.60326930770995
424.5,-68.4320473351818
425.0,-68.25894854693466
425.5,-68.0838348065294
426.0,-67.90655570170063
426.5,-67.72694704270467
427.0,-67.54482912905284
427.5,-67.3600047413354
428.0,-67.17225680528854
428.5,-66.98134566326843
429.0,-66.7870058731497
429.5,-66.58894243542366
430.0,-66.38682632465466
430.5,-66.18028916975348
431.0,-65.96891688640152
431.5,-65.75224201120362
432.0,-65.52973441630482
432.5,-65.3007899890458
433.0,-65.06471673492848
433.5,-64.82071759109708
434.0,-64.56786900343889
434.5,-64.30509399648352
435.0,-64.03112801173602
435.5,-63.74447514692867
436.0,-63.44335150409999
436.5,-63.1256110054951
437.0,-62.78864703656192
437.5,-62.42926025885616
438.0,-62.043478298483336
438.5,-61.62630573757362
439.0,-61.171371149556876
439.5,-60.670418674189236
440.0,-60.11255903739077
440.5,-59.483137974276765
441.0,-58.76197694524039
441.5,-57.92054689971038
442.0,-56.9172531276221
442.5,-55.689214029349564
443.0,-54.13715979846467
443.5,-52.09590372078354
444.0,-49.27202316181766
444.5,-45.099203423957555
445.0,-38.35892698108151
445.5,-26.011572854435215
446.0,1.3082531202753493
446.5,-65.0
447.0,-68.2347898537326
447.5,-70.86947551559837
448.0,-72.69104585326393
448.5,-73.76458548441344
449.0,-74.30450777923491
449.5,-74.52202773290945
450.0,-74.56279376046949
450.5,-74.5113374199233
451.0,-74.41275598420799
451.5,-74.2902140096262
452.0,-74.15544412270812
452.5,-74.01437526527532
453.0,-73.87001257571437
453.5,-73.72388600578746
454.0,-73.57677662980956
454.5,-73.42908206945579
455.0,-73.2810015944903
455.5,-73.1326306652388
456.0,-72.98400965494977
456.5,-72.83514918549164
457.0,-72.68604341455837
457.5,-72.53667705527366
458.0,-72.38702910270682
458.5,-72.2370748120297
459.0,-72.08678673791528
459.5,-71.93613526328684
460.0,-71.78508884569956
460.5,-71.63361410397367
461.0,-71.48167581128939
461.5,-71.32923683053205
462.0,-71.17625801108471
462.5,-71.02269805709362
463.0,-70.86851337206687
463.5,-70.71365788167735
464.0,-70.55808283483239
464.5,-70.40173658189913
465.0,-70.24456432813172
465.5,-70.08650785966121
466.0,-69.9275052387781
466.5,-69.76749046459574
467.0,-69.60639309448375
467.5,-69.44413782087094
468.0,-69.28064399709864
468.5,-69.11582510492536
469.0,-68.94958815500222
469.5,-68.7818330101059
470.0,-68.6124516190755
470.5,-68.44132714717826
471.0,-68.26833298593662
471.5,-68.09333162216933
472.0,-67.91617334198816
472.5,-67.73669474056142
473.0,-67.55471700236568
473.5,-67.37004390908656
